[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
 12  10  51  27   0   0| 527M  100M  782M 1169M|   0     0 |3745k   59k
  6   5  87   3   0   0| 527M  100M  782M 1169M| 292B  404B|   0     0 
 14   6  80   0   0   0| 527M  100M  782M 1168M|   0    52B|   0     0 
  4   3  89   4   0   0| 527M  100M  782M 1168M|   0     0 |   0     0 
  6   2  93   0   0   0| 527M  100M  782M 1168M|   0    52B|   0     0 
  5   3  91   2   0   0| 527M  100M  782M 1168M|   0     0 |   0    72k
  9   5  80   5   0   1| 527M  100M  770M 1180M| 202B  324B|   0  4096B
 13   7  79   0   0   0| 528M  100M  776M 1174M|   0     0 |   0     0 
  6   3  88   4   0   0| 527M  100M  776M 1174M|   0    52B|   0     0 
  5   4  91   0   0   0| 527M  100M  776M 1174M|   0     0 |   0     0 
  8   4  88   0   0   0| 527M  100M  776M 1174M|   0    52B|   0     0 
  6   2  85   7   0   0| 528M  100M  776M 1174M| 140B  210B|   0    12k
  7   4  90   0   0   0| 528M  100M  776M 1174M|   0    52B|   0     0 
  5   4  91   0   0   0| 528M  100M  776M 1174M|   0     0 |   0     0 
  6   2  88   4   0   0| 528M  100M  776M 1174M|   0    52B|   0     0 
  7   4  90   0   0   0| 528M  100M  776M 1174M|   0     0 |   0     0 
  6   2  88   4   0   0| 527M  100M  774M 1177M| 112B  220B|   0    60k
  6   2  90   2   0   0| 527M  100M  774M 1177M|   0     0 |   0    20k
  6   3  91   0   0   0| 527M  100M  774M 1177M|   0    52B|   0     0 
  5   2  89   4   0   1| 528M  100M  774M 1177M|   0     0 |   0     0 
  5   2  93   0   0   0| 528M  100M  774M 1176M|   0    52B|   0     0 
 14   6  79   1   0   0| 528M  100M  774M 1177M| 140B  210B|   0     0 
 14   4  82   0   0   0| 528M  100M  773M 1177M|   0    52B|   0   356k
  5   2  90   3   0   0| 528M  100M  774M 1176M|   0     0 |   0    16k
  6   3  88   4   0   0| 528M  100M  774M 1176M|   0    52B|   0     0 
  3   3  94   0   0   0| 528M  100M  774M 1176M|   0     0 |   0     0 
  5   4  81  11   0   0| 528M  100M  769M 1181M|  56B  122B|1636k    0 
  9   4  84   4   0   0| 528M  100M  771M 1178M|   0     0 |2556k    0 
  4   1  95   0   0   0| 528M  100M  771M 1178M|   0    52B|   0     0 
  6   2  85   7   0   0| 528M  100M  771M 1178M|   0     0 |   0    16k
  5   4  89   2   0   0| 529M  100M  772M 1177M|   0    52B| 392k    0 
  6   3  82   9   0   0| 528M  100M  777M 1173M|   0     0 |4804k    0 
  4   3  93   0   0   0| 528M  100M  777M 1173M|   0    52B|   0   284k
  4   2  94   0   0   0| 528M  100M  777M 1173M|   0     0 |   0     0 
  4   3  90   4   0   0| 529M  100M  777M 1172M|   0    52B|   0     0 
 11   5  81   3   0   1| 529M  100M  777M 1173M|   0     0 |   0    16k
 10   5  81   3   0   1| 529M  100M  777M 1172M|   0    52B| 324k    0 
  8   3  85   4   0   0| 529M  100M  777M 1172M|   0     0 |   0     0 
  5   2  89   4   0   0| 529M  100M  777M 1172M|   0    52B|  24k    0 
  6   2  87   5   0   0| 529M  100M  777M 1172M|   0     0 |   0     0 
  5   2  93   0   0   0| 529M  100M  777M 1172M|   0    52B|   0     0 
  4   2  92   3   0   0| 529M  100M  777M 1172M|   0     0 |   0    76k
  4   1  92   3   0   0| 529M  100M  777M 1172M|   0    52B|   0     0 
  5   2  93   0   1   0| 529M  100M  777M 1172M|   0     0 |   0     0 
 11   4  83   2   0   0| 529M  100M  777M 1172M|   0    52B|   0     0 
  9   4  87   0   0   0| 528M  100M  780M 1169M|   0     0 |   0     0 
  6   2  84   9   0   0| 529M  100M  780M 1169M|   0   159B|   0   144k
  4   3  90   4   0   0| 529M  100M  780M 1169M|   0     0 |   0     0 
  4   5  91   0   0   1| 529M  100M  780M 1169M|   0    52B|   0     0 
  3   2  92   4   0   0| 529M  100M  780M 1169M|   0     0 |   0     0 
  4   2  95   0   0   0| 529M  100M  780M 1169M|   0    52B|   0     0 
  5   2  93   1   0   0| 529M  100M  780M 1169M|   0     0 |   0    12k
  4   1  89   6   0   0| 529M  100M  780M 1169M|   0    52B|   0    52k
  4   2  94   1   0   0| 529M  100M  780M 1170M|   0     0 |   0     0 
  3   2  93   2   0   0| 529M  100M  780M 1170M|   0    52B|   0     0 
  4   2  92   2   0   0| 529M  100M  780M 1170M|   0     0 |   0     0 
  4   2  94   0   0   0| 529M  100M  776M 1173M|   0    52B|   0    12k
  4   1  91   4   0   0| 529M  100M  776M 1173M|   0     0 |   0     0 
  4   2  92   3   0   0| 529M  100M  776M 1173M|   0    52B|   0    16k
  4   1  95   0   0   0| 529M  100M  776M 1173M|   0     0 |   0     0 
  4   1  92   4   0   0| 529M  100M  776M 1173M|   0    52B|   0     0 
  3   2  95   0   0   0| 529M  100M  776M 1173M|   0     0 |   0    12k
  4   1  91   4   0   0| 529M  100M  776M 1173M|   0    52B|   0     0 
  4   2  95   0   0   0| 529M  100M  776M 1173M|   0     0 |   0     0 
  5   1  92   2   0   0| 529M  100M  776M 1173M|   0    52B|   0    16k
  5   2  87   7   0   0| 529M  100M  776M 1173M|   0     0 |4096B    0 
  4   2  94   0   0   0| 529M  100M  776M 1173M|   0    52B|   0   228k
  4   2  93   1   0   0| 529M  100M  776M 1173M|   0     0 |   0     0 
  4   1  95   0   0   0| 529M  100M  776M 1173M|   0    52B|   0     0 
  3   2  92   4   0   0| 529M  100M  776M 1173M|   0     0 |   0     0 
 14   4  78   4   0   1| 529M  100M  788M 1162M|   0    52B|4096B   16k
  3   2  86   9   0   0| 529M  100M  788M 1162M|   0     0 |   0  8892k
  4   3  90   4   0   0| 529M  100M  788M 1162M|   0    52B|   0     0 
  3   2  95   0   0   0| 529M  100M  788M 1161M|   0     0 |   0     0 
  4   2  91   4   0   0| 529M  100M  788M 1161M|   0    52B|   0     0 
  3   2  95   1   0   0| 529M  100M  788M 1161M|   0     0 |   0     0 
  4   1  93   3   0   0| 529M  100M  788M 1161M|   0    52B|   0    36k
  4   2  91   4   0   0| 529M  100M  788M 1161M|   0     0 |   0     0 
 17   8  76   0   0   0| 529M  100M  794M 1155M|   0    52B|   0     0 
 16   5  79   0   0   0| 529M  100M  794M 1155M|   0     0 |   0     0 
 15   3  79   4   0   0| 529M  100M  797M 1152M|   0    52B|   0     0 
  4   1  95   0   0   0| 529M  100M  797M 1152M|   0     0 |   0    12k
  2   2  90   6   0   0| 529M  100M  797M 1152M|   0    52B|   0    16k
  4   3  93   0   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  4   2  95   0   0   0| 529M  100M  797M 1152M|   0    52B|   0     0 
  3   2  92   4   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  4   1  95   0   0   0| 529M  100M  797M 1152M|   0    52B|   0    12k
  3   1  96   0   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  3   3  91   4   0   0| 529M  100M  797M 1152M|   0    52B|   0    16k
  3   2  95   0   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  4   1  95   0   0   0| 529M  100M  797M 1152M|   0    52B|   0     0 
  3   2  95   1   0   0| 529M  100M  797M 1152M|   0     0 |   0    16k
  3   2  96   0   0   0| 529M  100M  797M 1152M|   0    52B|   0     0 
  3   1  91   4   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  4   1  92   3   0   1| 529M  100M  797M 1152M|   0    52B|   0    16k
  4   2  94   0   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  3   2  91   4   0   0| 529M  100M  796M 1153M|   0    52B|   0    12k
  3   2  95   0   0   0| 529M  100M  796M 1153M|   0     0 |   0     0 
  4   2  94   0   0   0| 529M  100M  796M 1153M|   0    52B|   0     0 
  4   2  91   4   0   0| 529M  100M  796M 1153M|   0     0 |   0     0 
 14   6  78   3   0   0| 529M  100M  804M 1145M|   0    52B|   0    16k
  9   3  74  14   1   0| 529M  100M  804M 1145M|   0     0 |   0  7920k
 20  12  69   0   0   0| 529M  100M  804M 1145M|   0    52B|   0     0 
  8   3  88   0   0   1| 529M  100M  804M 1145M|   0     0 |   0     0 
  9   5  82   4   0   0| 529M  100M  803M 1146M|   0    52B|  20k    0 
 13   4  83   0   0   0| 529M  100M  803M 1146M|   0     0 |   0     0 
  3   3  88   6   0   0| 529M  100M  803M 1146M|   0    52B|   0    40k
  6   3  90   1   0   0| 529M  100M  803M 1146M|   0     0 |   0     0 
 11   5  84   0   0   0| 529M  100M  809M 1139M|   0    52B|   0     0 
  4   2  90   4   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  4   1  95   0   0   0| 529M  100M  810M 1139M|   0    52B|   0     0 
  5   6  85   3   0   1| 529M  100M  810M 1139M|   0     0 |   0    12k
  3   2  93   3   0   0| 529M  100M  810M 1139M|   0    52B|   0    16k
  3   1  95   1   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  4   2  91   4   0   0| 529M  100M  810M 1139M|   0    52B|   0     0 
  3   1  96   0   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  4   2  91   4   0   0| 529M  100M  810M 1139M|   0    52B|   0    12k
  3   2  95   1   0   0| 529M  100M  810M 1139M|   0   174B|   0     0 
  5   2  90   3   0   1| 529M  100M  810M 1139M|   0    52B|   0    16k
  4   2  91   4   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  3   1  96   0   0   0| 529M  100M  810M 1139M|   0    52B|   0     0 
  3   2  94   0   0   0| 529M  100M  810M 1139M|   0     0 |   0    16k
  3   1  92   4   0   0| 529M  100M  810M 1139M|   0    52B|   0     0 
  4   1  95   0   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  4   1  89   7   0   0| 529M  100M  810M 1139M|   0    52B|   0    16k
  3   1  96   0   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  3   2  95   0   0   0| 529M  100M  797M 1151M|   0    52B|   0    16k
  4   2  90   4   0   0| 529M  100M  797M 1151M|   0     0 |   0     0 
  3   1  96   0   0   0| 529M  100M  797M 1151M|   0    52B|   0     0 
  3   1  91   5   0   0| 529M  100M  797M 1151M|   0     0 |   0     0 
  4   3  90   3   0   1| 529M  100M  805M 1143M|   0    52B|   0    16k
  3   1  87   9   0   0| 529M  100M  805M 1143M|   0     0 |   0  7872k
  5   2  90   4   0   0| 529M  100M  805M 1143M|   0    52B|   0     0 
  3   3  93   2   0   0| 530M  100M  805M 1143M|   0     0 |4096B    0 
  4   1  95   1   0   0| 530M  100M  805M 1143M|   0    52B|   0     0 
  5   1  94   0   0   0| 530M  100M  805M 1143M|   0     0 |   0     0 
  4   1  85  10   0   0| 530M  100M  805M 1143M|   0    52B|   0    84k
  3   2  95   0   0   0| 530M  100M  805M 1143M|   0     0 |   0     0 
  4   1  95   0   0   0| 530M  100M  805M 1143M|   0    52B|   0     0 
  4   2  91   4   0   0| 530M  100M  805M 1143M|   0     0 |   0     0 
  4   2  95   0   0   0| 530M  100M  805M 1143M|   0    52B|   0     0 
