[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  9  10  77   2   0   2| 749M 43.5M 1681M  105M|   0     0 | 103k  143k
  4   2  95   0   0   0| 749M 43.5M 1681M  105M|   0     0 |   0     0 
  5   3  89   4   0   0| 749M 43.5M 1681M  104M|   0    52B|   0    12k
  4   1  95   0   0   0| 749M 43.5M 1681M  105M|   0     0 |   0     0 
  4   1  95   0   0   0| 749M 43.5M 1681M  105M|   0    52B|   0     0 
  4   2  88   6   0   0| 749M 43.5M 1681M  105M| 112B  196B|   0   116k
  3   2  95   0   0   0| 749M 43.5M 1681M  105M| 112B   52B|   0     0 
  4   1  92   4   0   0| 749M 43.5M 1678M  107M| 224B    0 |   0    16k
  4   1  95   0   0   0| 749M 43.5M 1678M  107M| 112B   52B|   0     0 
  4   2  95   0   0   0| 749M 43.5M 1678M  108M| 112B    0 |   0     0 
  3   2  91   4   0   0| 749M 43.5M 1678M  108M| 112B   52B|   0     0 
  4   2  93   2   0   0| 749M 43.5M 1678M  108M| 202B    0 |   0    16k
  3   2  95   0   0   0| 749M 43.5M 1678M  108M| 112B   52B|   0    16k
  4   2  94   1   0   0| 749M 43.5M 1678M  108M| 112B    0 |   0     0 
  3   2  95   0   0   0| 749M 43.5M 1678M  108M| 112B   52B|   0     0 
  3   2  91   4   0   0| 749M 43.5M 1678M  108M|  90B    0 |   0    44k
  4   2  93   2   0   0| 749M 43.5M 1678M  108M|  28B   94B|   0    16k
  3   2  92   4   0   0| 749M 43.5M 1678M  108M|   0     0 |   0     0 
  5   1  93   0   0   0| 749M 43.5M 1662M  123M|   0    52B|   0     0 
  3   1  95   0   0   1| 749M 43.5M 1662M  123M|   0     0 |   0     0 
  4   2  90   4   0   0| 749M 43.5M 1662M  123M|   0    52B|   0    16k
  3   2  94   2   0   0| 749M 43.5M 1662M  123M|   0     0 |   0    16k
  4   1  91   4   0   1| 749M 43.5M 1662M  123M|   0    52B|   0     0 
  4   2  94   1   0   0| 749M 43.5M 1662M  123M|   0     0 |   0     0 
  4   2  94   0   0   0| 749M 43.5M 1662M  123M|   0    52B|   0     0 
  4   1  91   4   0   0| 749M 43.5M 1662M  123M|   0     0 |   0    12k
  3   2  95   0   0   0| 749M 43.5M 1662M  123M|   0    52B|   0     0 
  3   3  88   7   0   0| 749M 43.5M 1671M  114M|   0     0 |   0    16k
  5  18  77   0   0   1| 749M 43.5M 1673M  112M|   0    52B|   0    12k
  3   2  94   0   0   0| 749M 43.5M 1673M  112M|   0     0 |   0     0 
  3   1  81  15   0   0| 749M 43.5M 1673M  112M|   0    52B|   0  9248k
  4   1  95   0   0   0| 749M 43.5M 1673M  112M|   0     0 |   0     0 
  4   2  95   0   0   0| 749M 43.5M 1674M  112M|   0    52B|   0     0 
  5   2  93   1   0   0| 749M 43.5M 1674M  112M|   0     0 |   0     0 
  3   1  96   0   0   0| 749M 43.5M 1674M  112M|   0    52B|   0     0 
  4   2  90   4   0   0| 749M 43.5M 1674M  112M|   0     0 |   0    12k
  4   2  92   1   0   0| 749M 43.5M 1674M  112M|   0    52B|   0    16k
  3   3  95   0   0   0| 749M 43.5M 1671M  114M|   0     0 |   0     0 
  3   2  92   3   0   0| 749M 43.5M 1671M  114M|   0    52B|   0     0 
  3   2  96   0   0   0| 749M 43.5M 1671M  114M|   0     0 |   0     0 
  4   1  91   4   0   0| 749M 43.5M 1671M  114M|   0    52B|   0    12k
  4   2  94   0   0   0| 749M 43.5M 1671M  114M|   0     0 |   0     0 
  3   1  94   3   0   0| 749M 43.5M 1671M  114M|   0    52B|   0    16k
  5   1  90   4   0   0| 749M 43.5M 1671M  114M|   0     0 |   0     0 
  3   2  89   6   0   1| 749M 43.5M 1671M  114M|   0    52B|4096B  100k
  3   2  92   4   0   0| 749M 43.5M 1671M  114M|   0     0 |   0     0 
  3   2  95   0   0   0| 749M 43.5M 1671M  114M|   0    52B|   0     0 
  5   2  93   0   0   0| 749M 43.5M 1668M  118M|   0     0 |   0     0 
  3   2  92   4   0   0| 749M 43.5M 1668M  118M|   0    52B|   0     0 
  4   1  92   4   0   0| 749M 43.5M 1668M  118M|   0     0 |   0    76k
  4   2  91   4   0   0| 749M 43.5M 1668M  118M|   0    52B|   0     0 
  4   1  95   0   0   0| 749M 43.5M 1668M  118M|   0     0 |   0     0 
  4   2  94   0   0   1| 749M 43.5M 1668M  118M|   0    52B|   0     0 
  3   1  92   4   0   0| 749M 43.5M 1668M  118M|   0     0 |   0     0 
  3   2  91   4   0   0| 749M 43.6M 1668M  118M|   0    52B|   0    28k
  5   1  94   0   0   0| 749M 43.6M 1668M  118M|   0     0 |   0     0 
  4   1  93   3   0   0| 749M 43.6M 1668M  117M|   0    52B|   0     0 
  4   1  94   0   0   0| 749M 43.6M 1676M  110M|   0     0 |   0     0 
  4   3  90   4   0   0| 749M 43.6M 1676M  110M|   0    52B|   0     0 
  4  13  69  14   0   1| 749M 43.6M 1679M  106M|   0     0 |   0  8064k
  5   2  94   0   0   0| 749M 43.6M 1679M  106M|   0    52B|   0     0 
  5   2  90   4   0   0| 749M 43.6M 1679M  106M|   0     0 |   0     0 
  3   3  94   0   0   0| 749M 43.6M 1679M  106M|   0    52B|   0     0 
  3   1  92   4   0   0| 749M 43.6M 1679M  106M|   0     0 |   0     0 
  4   2  94   0   0   0| 749M 43.6M 1679M  106M|   0    52B|   0    68k
  4   1  92   3   0   0| 749M 43.6M 1679M  106M|   0     0 |   0    16k
