[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  8  10  78   2   0   2| 751M 42.5M 1724M 59.5M|   0     0 |  98k  147k
  3   2  91   4   0   0| 752M 42.5M 1724M 59.4M|   0    52B|   0    72k
  3   2  91   4   0   0| 752M 42.5M 1724M 59.4M|   0     0 |   0     0 
  4   2  95   0   0   0| 752M 42.5M 1724M 59.4M|   0    52B|   0     0 
  5   2  94   0   0   0| 752M 42.5M 1724M 59.4M|   0     0 |   0     0 
  5   1  91   3   0   0| 752M 42.5M 1724M 59.4M|   0    52B|   0     0 
  4   2  92   3   0   0| 751M 42.6M 1715M 68.6M|   0     0 |   0    28k
  4   1  90   4   0   0| 751M 42.6M 1715M 68.6M|   0    52B|   0     0 
  3   2  95   0   0   0| 751M 42.6M 1715M 68.6M|   0     0 |   0     0 
  4   2  94   0   0   0| 751M 42.6M 1715M 68.6M|   0    52B|   0     0 
  4   2  91   4   0   0| 751M 42.6M 1715M 68.6M|   0     0 |   0     0 
  4   2  94   0   0   0| 751M 42.6M 1715M 68.6M|   0    52B|   0    16k
  3   2  92   4   0   0| 751M 42.6M 1715M 68.6M|   0     0 |   0    16k
  3   2  92   3   0   0| 751M 42.6M 1715M 68.7M|   0    52B|   0     0 
  4   2  94   0   0   0| 751M 42.6M 1715M 68.7M|   0     0 |   0     0 
  4   4  89   4   0   0| 751M 42.6M 1724M 60.2M|   0    52B|   0     0 
  3   2  83  12   0   0| 751M 42.6M 1724M 60.1M|   0     0 |   0  9164k
  4   2  95   0   0   0| 751M 42.6M 1724M 60.1M|   0    52B|   0     0 
  3   2  91   4   0   0| 751M 42.6M 1724M 60.1M|   0     0 |   0     0 
  4   1  95   0   0   0| 751M 42.6M 1724M 60.1M|   0    52B|   0     0 
  3   3  90   4   0   0| 751M 42.6M 1724M 60.0M|   0     0 |   0     0 
  4   1  93   3   0   0| 751M 42.6M 1724M 60.0M|   0    52B|   0    28k
  4   1  95   0   0   0| 751M 42.6M 1724M 60.0M|   0     0 |   0     0 
  3   2  91   4   0   0| 751M 42.6M 1724M 60.0M|   0    52B|   0     0 
  4   1  95   0   0   0| 751M 42.6M 1724M 60.0M|   0     0 |   0     0 
  4   2  91   4   0   0| 751M 42.6M 1724M 60.0M|   0    52B|   0     0 
  3   3  94   0   0   0| 751M 42.6M 1720M 63.9M|   0     0 |   0    12k
  4   1  92   3   0   0| 751M 42.6M 1720M 63.9M|   0    52B|   0    16k
  4   2  91   4   0   0| 751M 42.6M 1720M 63.9M|   0     0 |   0     0 
  4   2  95   0   0   0| 751M 42.6M 1720M 63.9M|   0    52B|   0     0 
  4   2  90   4   0   0| 751M 42.6M 1720M 63.9M|   0     0 |   0     0 
  4   2  95   0   0   0| 751M 42.6M 1720M 63.9M|   0    52B|   0    12k
  3   1  93   3   0   0| 751M 42.6M 1720M 63.9M|   0     0 |   0    16k
  4   2  90   4   0   0| 751M 42.6M 1720M 63.8M|   0    52B|   0     0 
  5   1  94   0   0   0| 751M 42.6M 1720M 63.8M|   0     0 |   0     0 
  3   3  94   0   0   0| 751M 42.6M 1720M 63.8M|   0    52B|   0     0 
  4   1  92   4   0   0| 751M 42.6M 1720M 63.8M|   0     0 |   0    16k
  3   2  95   0   0   0| 751M 42.6M 1720M 63.8M|   0    52B|   0     0 
  4   2  87   6   0   0| 751M 42.6M 1720M 63.8M|   0     0 |   0    16k
  4   2  95   0   0   0| 751M 42.6M 1720M 63.8M|   0    52B|   0     0 
  4   1  95   0   0   0| 751M 42.6M 1720M 63.8M|   0     0 |   0     0 
  3   2  91   4   0   0| 751M 42.6M 1720M 63.6M|   0    52B|   0    12k
  4   1  95   0   0   0| 751M 42.6M 1720M 63.6M|   0     0 |   0     0 
  4   2  91   4   0   0| 751M 42.6M 1720M 63.6M|   0    52B|   0     0 
  3   2  92   3   0   1| 751M 42.6M 1720M 63.6M|   0     0 |   0    16k
  4   2  94   0   0   0| 752M 42.6M 1728M 55.7M|   0    52B|   0     0 
  3   2  85  10   0   0| 751M 42.6M 1728M 55.7M|   0     0 |   0  8068k
  4   1  95   0   0   0| 751M 42.6M 1728M 55.7M|   0    52B|   0     0 
  3   2  91   4   0   0| 752M 42.6M 1728M 55.3M|   0     0 |   0     0 
  3   2  95   0   0   0| 752M 42.6M 1728M 55.3M|   0    52B|   0     0 
  4   1  95   0   0   1| 752M 42.6M 1728M 55.3M|   0     0 |   0     0 
  5   0  88   7   0   0| 751M 42.6M 1729M 55.2M|   0    52B|   0    48k
  3   2  95   0   0   0| 751M 42.6M 1729M 55.2M|   0     0 |   0     0 
  3   2  92   4   0   0| 751M 42.6M 1729M 55.2M|   0    52B|   0     0 
  3   1  95   1   0   1| 751M 42.6M 1729M 55.2M|   0     0 |   0     0 
  4   2  94   0   0   0| 751M 42.6M 1729M 55.2M|   0    52B|   0     0 
  3   3  90   4   0   0| 751M 42.6M 1729M 55.2M|   0     0 |   0    12k
  3   3  92   2   0   0| 751M 42.6M 1729M 55.2M|   0    52B|   0    16k
  4   2  94   1   0   0| 751M 42.6M 1729M 55.2M|   0     0 |   0     0 
  4   2  91   4   0   0| 751M 42.6M 1729M 55.2M|   0    52B|   0     0 
  3   2  95   0   0   0| 751M 42.6M 1729M 55.2M|   0     0 |   0     0 
  3   2  91   4   0   0| 751M 42.6M 1729M 55.3M|   0    52B|   0    16k
  4   2  95   0   0   0| 751M 42.6M 1729M 55.3M|   0     0 |   0     0 
  4   1  93   3   0   0| 751M 42.6M 1729M 55.3M|   0    52B|   0    16k
  4   1  92   3   0   0| 751M 42.6M 1729M 55.3M|   0     0 |   0     0 
  3   2  96   0   0   0| 751M 42.6M 1729M 55.3M|   0    52B|   0     0 
  3   2  92   4   0   0| 752M 42.6M 1728M 55.4M|   0     0 |   0    16k
  5   1  95   0   0   0| 752M 42.6M 1728M 55.4M|   0    52B|   0     0 
  4   3  94   0   0   0| 752M 42.6M 1728M 55.4M|   0     0 |   0     0 
  4   2  89   6   0   1| 752M 42.6M 1728M 55.4M|   0    52B|   0    16k
  3   2  95   0   0   0| 752M 42.6M 1728M 55.4M|   0     0 |   0     0 
  3   3  91   4   0   0| 752M 42.6M 1728M 55.4M|   0    52B|   0    12k
  3   2  95   0   0   0| 752M 42.6M 1728M 55.4M|   0     0 |   0     0 
  3   3  94   0   0   0| 752M 42.6M 1728M 55.4M|   0    52B|   0     0 
  4   2  90   4   0   1| 752M 42.6M 1728M 55.4M|   0     0 |   0     0 
  5   1  92   3   0   0| 752M 42.7M 1736M 47.4M|   0    52B|   0    16k
  4   1  86   9   0   0| 752M 42.7M 1736M 47.3M|   0     0 |   0  8056k
  4   1  93   3   0   0| 752M 42.7M 1736M 47.3M|   0    52B|   0     0 
  4   2  95   0   0   0| 752M 42.7M 1736M 47.3M|   0     0 |   0     0 
  4   2  91   4   0   0| 752M 42.7M 1736M 47.3M|   0    52B|   0     0 
  3   2  95   0   0   0| 752M 42.7M 1736M 47.3M|   0     0 |   0     0 
  4   2  92   3   0   0| 752M 42.7M 1736M 47.1M|   0    52B|   0    28k
  4   2  91   4   0   0| 752M 42.7M 1736M 47.1M|   0     0 |   0     0 
  3   2  95   0   0   0| 752M 42.7M 1736M 47.1M|   0    52B|   0     0 
  3   2  91   4   0   0| 752M 42.7M 1736M 47.1M|   0     0 |   0     0 
  3   3  95   0   0   0| 752M 42.7M 1736M 47.1M|   0    52B|   0     0 
  3   1  96   0   0   0| 752M 42.7M 1736M 47.1M|   0     0 |   0    12k
  5   1  90   5   0   0| 752M 42.7M 1736M 47.1M|   0    52B|   0    16k
  3   2  95   0   0   0| 752M 42.7M 1736M 47.1M|   0     0 |   0     0 
  4   2  90   4   0   0| 752M 42.7M 1736M 47.1M|   0    52B|   0     0 
  5   2  93   0   0   0| 752M 42.7M 1739M 44.2M|   0     0 |   0     0 
  5   1  94   0   0   0| 752M 42.7M 1739M 44.3M|   0    52B|   0    16k
  3   3  92   3   0   0| 751M 42.7M 1739M 44.3M|   0     0 |   0     0 
  3   1  93   3   0   0| 751M 42.7M 1739M 44.3M|   0    52B|   0    16k
  4   2  91   4   0   0| 752M 42.7M 1739M 44.1M|   0     0 |   0     0 
  4   2  95   0   0   0| 752M 42.7M 1739M 44.1M|   0    52B|   0     0 
  4   1  89   7   0   0| 752M 42.7M 1739M 44.1M|   0     0 |4096B  148k
  6   1  89   4   0   0| 752M 42.7M 1739M 44.1M|   0    52B|   0     0 
  4   2  95   0   0   0| 752M 42.7M 1739M 44.1M|   0     0 |   0     0 
  4   2  94   1   0   0| 752M 42.7M 1739M 44.1M|   0    52B|   0     0 
  4   4  89   4   0   0| 752M 42.7M 1739M 43.8M|   0     0 |   0     0 
  3   1  93   3   0   0| 752M 42.7M 1739M 43.8M|   0    52B|   0    60k
  4   2  91   4   0   0| 752M 42.7M 1739M 43.8M|   0     0 |   0     0 
  4   1  95   0   0   0| 752M 42.7M 1739M 43.8M|   0    52B|   0     0 
  3   2  95   0   0   0| 752M 42.7M 1739M 43.8M|   0     0 |   0     0 
  4   1  91   4   0   0| 752M 42.7M 1739M 43.8M|   0    52B|   0     0 
  4   1  87   8   0   0| 752M 42.7M 1747M 35.8M|   0     0 |   0  8028k
  3   2  92   4   0   0| 752M 42.7M 1747M 35.8M|   0    52B|   0     0 
  3   2  94   0   0   0| 752M 42.7M 1748M 35.7M|   0     0 |   0     0 
  4   1  95   0   0   0| 752M 42.7M 1748M 35.7M|   0    52B|   0     0 
  4   1  90   5   0   0| 752M 42.7M 1748M 35.7M|   0     0 |   0     0 
  4   1  93   2   0   0| 752M 42.7M 1748M 35.7M|   0    52B|   0    28k
  3   2  92   4   0   0| 752M 42.7M 1748M 35.7M|   0     0 |   0     0 
  4   0  95   0   0   1| 752M 42.7M 1748M 35.7M|   0    52B|   0     0 
  3   2  95   0   0   0| 752M 42.7M 1748M 35.7M|   0     0 |   0     0 
  3   2  95   1   0   0| 752M 42.7M 1748M 35.7M|   0    52B|   0     0 
  3   2  96   0   0   0| 752M 42.7M 1748M 35.7M|   0     0 |   0    16k
  3   1  89   7   0   0| 752M 42.7M 1748M 35.6M|   0    52B|   0    16k
  4   1  95   0   0   0| 752M 42.7M 1748M 35.6M|   0     0 |   0     0 
  3   2  94   1   0   0| 752M 42.7M 1748M 35.6M|   0    52B|   0     0 
  4   1  93   3   0   0| 752M 42.7M 1748M 35.6M|   0     0 |   0     0 
  3   2  95   0   0   0| 752M 42.7M 1748M 35.5M|   0    52B|   0    16k
  3   1  92   4   0   0| 752M 42.7M 1748M 35.5M|   0     0 |   0     0 
  3   1  93   3   0   0| 752M 42.7M 1748M 35.5M|   0    52B|   0    16k
  3   2  95   0   0   0| 752M 42.7M 1748M 35.5M|   0     0 |   0     0 
  4   1  91   4   0   0| 752M 42.7M 1748M 35.5M|   0    52B|   0     0 
  4   1  96   0   0   0| 752M 42.7M 1747M 36.0M|   0     0 |   0    12k
  6   1  90   4   0   0| 752M 42.7M 1747M 36.0M|   0    52B|   0     0 
  3   2  95   0   0   0| 752M 42.7M 1747M 36.0M|   0     0 |   0     0 
  4   1  93   3   0   0| 752M 42.7M 1747M 36.0M|   0    52B|   0    16k
  4   1  91   4   0   0| 752M 42.7M 1747M 36.0M|   0     0 |   0     0 
  4   2  95   0   0   0| 752M 42.7M 1747M 36.0M|   0    52B|   0    12k
  3   2  91   4   0   0| 752M 42.7M 1747M 36.0M|   0     0 |   0     0 
  3   2  95   0   0   0| 752M 42.7M 1747M 36.0M|   0    52B|   0     0 
  4   1  96   0   0   0| 752M 42.7M 1747M 35.8M|   0     0 |   0     0 
  4   2  88   6   0   1| 752M 42.8M 1747M 35.8M|   0    52B|   0    16k
  3   3  87   8   0   0| 752M 42.8M 1752M 31.0M|   0     0 |   0  8064k
  3   1  92   4   0   0| 752M 42.8M 1752M 30.9M|   0    52B|   0     0 
  3   2  94   0   0   0| 752M 42.8M 1752M 30.9M|   0     0 |   0     0 
  3   2  96   0   0   0| 752M 42.8M 1752M 30.9M|   0    52B|   0     0 
  3   2  92   4   0   0| 752M 42.8M 1752M 30.9M|   0     0 |   0     0 
  4   1  83  12   0   0| 752M 42.8M 1752M 30.9M|   0    52B|4096B   64k
  3   2  95   0   0   0| 752M 42.8M 1752M 30.9M|   0     0 |   0     0 
 16  11  64   8   0   0| 762M 42.4M 1745M 28.7M|   0    52B|  20k   44k
 33  20  41   6   0   0| 758M 42.4M 1747M 29.9M|   0     0 |  36k  660k
 24  12  58   6   0   0| 753M 40.9M 1741M 43.1M|   0    52B|   0   576k
  5   4  90   0   0   0| 753M 40.9M 1738M 46.1M|   0     0 |   0    12k
 12   5  83   0   0   0| 752M 40.9M 1737M 47.3M|   0    52B|   0     0 
 11   5  80   4   0   0| 752M 40.9M 1737M 47.3M|   0     0 |   0     0 
  9   3  88   0   0   0| 752M 40.9M 1737M 47.3M|   0    52B|   0     0 
 17   8  72   2   0   0| 752M 40.9M 1737M 47.6M|   0     0 |   0    32k
 10   4  85   0   0   0| 752M 40.9M 1741M 43.7M|   0    52B|   0    12k
  5   1  91   3   0   0| 753M 40.9M 1740M 44.8M|   0     0 |   0     0 
 22  10  69   0   0   0| 753M 40.9M 1742M 42.2M|   0    52B|   0     0 
  4   2  94   0   0   0| 753M 40.9M 1742M 42.2M|   0     0 |   0     0 
  3   3  93   2   0   0| 753M 40.9M 1742M 42.2M|   0    52B|   0     0 
  3   2  92   3   0   0| 753M 40.9M 1742M 42.2M|   0     0 |   0    28k
  5   2  89   4   0   0| 753M 40.9M 1742M 42.2M|   0    52B|   0     0 
  3   3  94   0   0   1| 753M 40.9M 1742M 42.2M|   0     0 |   0     0 
  3   2  95   0   0   0| 753M 40.9M 1742M 42.2M|   0    52B|   0     0 
  5   2  93   1   0   0| 752M 40.9M 1742M 42.2M|   0     0 |   0     0 
  3   1  92   4   0   0| 752M 40.9M 1743M 41.7M|   0    52B|   0    28k
  4   2  91   4   0   0| 752M 40.9M 1743M 41.7M|   0     0 |   0     0 
  3   2  95   0   0   0| 752M 40.9M 1743M 41.7M|   0    52B|   0     0 
  4   2  95   0   0   0| 752M 40.9M 1743M 41.7M|   0     0 |   0     0 
  3   1  92   4   0   0| 752M 40.9M 1743M 41.7M|   0    52B|   0     0 
  3   2  89   6   0   1| 752M 40.9M 1750M 34.9M|   0     0 |   0  7804k
  3   2  92   4   0   0| 752M 40.9M 1750M 34.9M|   0    52B|   0     0 
  4   2  95   0   0   0| 752M 40.9M 1750M 34.4M|   0     0 |   0     0 
  4   1  95   0   0   0| 752M 40.9M 1750M 34.4M|   0    52B|   0     0 
  3   2  91   4   0   0| 752M 40.9M 1750M 34.4M|   0     0 |   0     0 
  3   3  93   2   0   0| 752M 40.9M 1750M 34.5M|   0    52B|   0    36k
  3   3  91   4   0   0| 752M 40.9M 1750M 34.5M|   0     0 |   0     0 
  3   2  95   0   0   0| 752M 40.9M 1750M 34.5M|   0    52B|   0     0 
  3   2  95   0   0   0| 752M 40.9M 1750M 34.5M|   0     0 |   0     0 
  3   2  91   4   0   1| 752M 40.9M 1750M 34.5M|   0    52B|   0     0 
  4   2  95   0   0   0| 753M 40.9M 1740M 44.8M|   0     0 |   0    28k
  4   2  89   5   0   0| 753M 40.9M 1740M 44.8M|   0    52B|   0    16k
  4   1  95   0   0   0| 753M 40.9M 1740M 44.8M|   0     0 |   0     0 
  3   2  95   0   0   0| 753M 40.9M 1740M 44.8M|   0    52B|   0     0 
  4   1  93   2   0   0| 753M 40.9M 1740M 44.8M|   0     0 |   0     0 
  4   1  95   1   0   0| 753M 40.9M 1740M 44.8M|   0    52B|   0    12k
  3   2  93   2   0   0| 753M 40.9M 1740M 44.8M|   0     0 |   0     0 
  4   2  93   2   0   0| 753M 40.9M 1740M 44.8M|   0    52B|   0    16k
  4   1  95   0   0   0| 753M 40.9M 1740M 44.8M|   0     0 |   0     0 
  3   2  91   4   0   0| 753M 40.9M 1740M 44.8M|   0    52B|   0     0 
  4   1  90   5   0   1| 753M 40.9M 1736M 48.0M|   0     0 |   0    60k
  4   2  94   0   0   0| 752M 40.9M 1737M 47.9M|   0    52B|   0     0 
  4   1  91   4   0   0| 752M 40.9M 1737M 47.9M|   0     0 |   0     0 
  3   3  94   0   0   0| 752M 40.9M 1737M 47.9M|   0    52B|   0     0 
  3   2  92   4   0   0| 752M 40.9M 1737M 47.9M|   0     0 |   0     0 
  4   2  92   3   0   0| 752M 40.9M 1737M 47.9M|   0    52B|   0    28k
  4   1  95   0   0   0| 752M 40.9M 1737M 47.9M|   0     0 |   0     0 
  3   2  90   4   0   1| 752M 40.9M 1737M 47.9M|   0    52B|   0     0 
  3   1  96   0   0   0| 752M 40.9M 1737M 47.9M|   0     0 |   0     0 
  3   2  92   4   0   0| 752M 40.9M 1737M 48.0M|   0    52B|   0     0 
  3   3  88   6   0   0| 752M 40.9M 1745M 40.1M|   0     0 |   0  8056k
  3   3  94   0   0   0| 752M 40.9M 1745M 40.1M|   0    52B|   0     0 
  3   2  93   3   0   0| 752M 40.9M 1745M 40.1M|   0     0 |   0     0 
  3   1  96   0   0   0| 752M 40.9M 1745M 40.1M|   0    52B|   0     0 
  3   2  91   4   0   0| 752M 40.9M 1745M 40.1M|   0     0 |   0     0 
  3   2  93   3   0   0| 752M 40.9M 1745M 39.9M|   0    52B|   0    28k
  4   2  94   0   0   1| 752M 40.9M 1745M 39.9M|   0     0 |   0     0 
  4   1  93   3   0   0| 752M 40.9M 1745M 39.9M|   0    52B|   0     0 
  3   1  96   0   0   0| 752M 40.9M 1745M 39.9M|   0     0 |   0     0 
