[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  9  12  74   2   0   3| 744M 52.9M 1730M 51.8M|   0     0 | 132k  143k
  4   3  90   4   0   0| 744M 52.9M 1730M 51.7M|   0     0 |   0     0 
 11   4  86   0   0   0| 744M 52.9M 1730M 51.2M|   0    52B|   0     0 
  4   3  87   6   0   1| 744M 52.9M 1730M 51.2M|   0     0 |   0     0 
  4   2  94   0   0   0| 744M 52.9M 1730M 51.4M|   0    52B|   0     0 
 13   7  75   5   0   0| 733M 52.9M 1722M 70.3M|   0     0 |4096B   72k
  5   2  70  23   0   0| 733M 53.0M 1722M 70.3M|   0    52B|  40k  628k
  4   2  94   0   0   0| 733M 53.0M 1720M 72.4M|   0     0 |   0     0 
  4   2  91   4   0   0| 733M 53.0M 1720M 72.5M|   0    52B|   0     0 
  6   2  92   0   0   0| 733M 53.0M 1720M 72.6M|   0     0 |   0     0 
  6   3  91   0   0   0| 733M 53.0M 1720M 72.6M|   0    52B|   0    12k
  3   2  90   6   0   0| 733M 53.0M 1720M 72.6M|   0     0 |   0    44k
  3   2  95   1   0   0| 733M 53.0M 1720M 72.6M|   0    52B|   0  4096B
  4   2  94   0   0   0| 733M 53.0M 1720M 72.6M|   0     0 |   0     0 
  3   2  93   3   0   0| 733M 53.0M 1720M 72.6M|   0    52B|   0     0 
  3   2  95   0   0   0| 733M 53.0M 1720M 72.6M|   0     0 |   0    60k
  3   2  91   4   0   0| 733M 53.0M 1719M 72.7M|   0    52B|   0     0 
  4   1  92   3   0   0| 733M 53.0M 1719M 72.7M|   0     0 |   0    16k
  4   1  95   0   0   1| 733M 53.0M 1719M 72.8M|   0    52B|   0     0 
  4   2  91   4   0   0| 733M 53.0M 1719M 72.8M|   0     0 |   0     0 
  3   2  95   0   0   0| 733M 53.0M 1719M 72.8M|   0    52B|   0    12k
  3   1  92   4   0   0| 733M 53.0M 1719M 72.8M|   0     0 |   0     0 
  7   3  90   0   0   0| 733M 53.0M 1719M 72.8M|   0    52B|   0     0 
  6   2  89   3   0   0| 732M 53.0M 1730M 62.9M|   0     0 |   0    16k
  4   2  91   4   0   0| 732M 53.0M 1730M 63.0M|   0    52B|   0     0 
