[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
 10  13  72   3   0   3| 739M 52.4M 1690M 96.4M|   0     0 | 142k  140k
  6   2  89   4   0   0| 739M 52.4M 1690M 96.3M|   0     0 |   0     0 
  4   2  94   0   0   0| 739M 52.4M 1690M 96.2M|   0    52B|   0     0 
  4   2  90   4   0   0| 739M 52.4M 1690M 96.2M|   0     0 |   0    72k
  6   2  89   4   0   0| 739M 52.4M 1690M 95.9M|   0    52B|   0     0 
  5   2  93   0   0   0| 739M 52.4M 1690M 95.9M|   0     0 |   0     0 
  4   2  91   4   0   0| 739M 52.4M 1690M 96.0M|   0    52B|   0     0 
  3   2  95   0   0   0| 739M 52.4M 1690M 96.0M|   0     0 |   0     0 
  7  10  81   3   0   0| 741M 52.5M 1690M 94.6M|   0    52B|   0    40k
  4   2  90   4   0   0| 741M 52.5M 1690M 94.7M|   0     0 |   0     0 
  4   1  95   0   0   0| 741M 52.5M 1690M 94.7M|   0    52B|   0     0 
  3   3  92   3   0   0| 741M 52.5M 1690M 94.7M|   0     0 |   0     0 
  4   2  95   0   0   0| 741M 52.5M 1690M 94.7M|   0    52B|   0     0 
  5   1  94   0   0   0| 741M 52.5M 1690M 94.7M|   0     0 |   0    12k
  3   1  90   6   0   0| 740M 52.5M 1690M 94.7M|   0    52B|   0    72k
  4   3  93   0   0   0| 740M 52.5M 1690M 94.7M|   0     0 |   0     0 
  5   2  93   0   0   1| 740M 52.5M 1690M 94.7M|   0    52B|   0     0 
  4   2  93   0   0   0| 740M 52.5M 1675M  110M|   0     0 |   0     0 
  4   7  89   0   0   0| 741M 52.5M 1675M  110M|   0    52B|   0    24k
  5   1  91   4   0   0| 740M 52.5M 1675M  110M|   0     0 |   0     0 
  3   2  93   2   0   0| 740M 52.5M 1675M  110M|   0    52B|   0    32k
  5   1  90   4   0   0| 741M 52.5M 1675M  110M|   0     0 |   0     0 
  4   1  95   0   0   0| 741M 52.5M 1675M  110M|   0    52B|   0     0 
  2   4  84  11   0   0| 741M 52.5M 1684M  101M|   0     0 |   0  9320k
  3   3  90   4   0   0| 741M 52.5M 1684M  101M|   0    52B|   0     0 
  4   2  95   0   0   0| 741M 52.5M 1684M  101M|   0     0 |   0     0 
  4   1  92   4   0   0| 741M 52.5M 1684M  100M|   0    52B|   0     0 
  3   2  95   0   0   0| 741M 52.5M 1683M  101M|   0     0 |   0     0 
  3   3  92   3   0   0| 741M 52.5M 1683M  101M|   0    52B|   0    28k
  5  15  77   4   0   0| 741M 52.5M 1683M  101M|   0     0 |   0    12k
  4   2  94   0   0   0| 741M 52.5M 1683M  101M|   0    52B|   0     0 
  3   2  92   4   0   0| 741M 52.5M 1683M  101M|   0     0 |   0     0 
  5   0  95   0   0   0| 741M 52.5M 1683M  101M|   0    52B|   0     0 
  4   1  95   0   0   0| 741M 52.5M 1683M  101M|   0     0 |   0    12k
  4   1  90   5   0   0| 741M 52.5M 1683M  101M|   0    52B|   0    40k
  3   2  89   6   0   0| 741M 52.5M 1683M  101M|   0     0 |   0   120k
  4   2  95   0   0   0| 741M 52.5M 1683M  101M|   0    52B|   0     0 
  4   1  95   0   0   0| 741M 52.5M 1680M  105M|   0     0 |   0     0 
  4   2  94   0   0   0| 741M 52.5M 1680M  105M|   0    52B|   0    12k
  4  12  80   4   0   0| 741M 52.5M 1680M  105M|   0     0 |   0    12k
  3   1  96   0   0   0| 741M 52.5M 1680M  105M|   0    52B|   0     0 
  4   2  93   2   0   0| 741M 52.5M 1680M  105M|   0     0 |   0    60k
  4   1  94   0   0   0| 741M 52.5M 1680M  105M|   0    52B|   0     0 
  3   1  96   0   0   0| 741M 52.5M 1680M  105M|   0     0 |   0    12k
  4   1  91   4   0   0| 741M 52.5M 1680M  105M|   0    52B|   0     0 
  4   3  93   0   0   0| 741M 52.5M 1680M  105M|   0     0 |   0     0 
  7   3  88   3   0   0| 741M 52.5M 1680M  105M|   0    52B|   0     0 
  6   4  88   2   0   0| 741M 52.5M 1680M  105M|   0     0 |   0    16k
  9   3  89   0   0   0| 741M 52.5M 1680M  105M|   0    52B|   0    12k
  6  21  69   4   0   0| 741M 52.5M 1683M  102M|   0     0 |   0    12k
  6   2  93   0   0   0| 741M 52.5M 1683M  102M|   0    52B|   0     0 
 11   4  81   4   0   0| 741M 52.5M 1683M  102M|   0     0 |   0     0 
  8   5  87   0   0   0| 741M 52.5M 1683M  102M|   0    52B|   0     0 
 10   4  86   0   0   0| 741M 52.5M 1691M 93.6M|   0     0 |   0    52k
  7   4  84   4   0   0| 741M 52.5M 1691M 93.6M|   0    52B|   0     0 
 10   3  87   0   0   0| 741M 52.5M 1691M 93.3M|   0     0 |   0     0 
  6   2  90   2   0   0| 741M 52.5M 1691M 93.3M|   0    52B|   0     0 
  4   1  94   0   0   0| 741M 52.5M 1691M 93.3M|   0     0 |   0     0 
  3   2  82  14   0   0| 741M 52.6M 1691M 93.4M|   0    52B|   0  8000k
